CUSTOMER_ID|CARD_ID|OPENING_DATE|EXPIRY_DATE|CLOSING_DATE|CLOSING_REASON
"C123022"|"PC10000001"|1994-01-30|2014-01-31|2013-05-01|"VOL_CHURN"
"C123021"|"PC10000002"|1999-02-26|2014-06-30||""
"C123020"|"PC10000003"|2011-12-07|2015-12-31||""
"C123019"|"PC10000004"|2007-12-01|2014-12-31||""
"C123018"|"PC10000005"|1998-11-19|2013-11-30||""
"C123017"|"PC10000006"|1998-01-29|2015-03-31||""
"C123016"|"PC10000007"|2010-09-16|2014-09-30||""
"C123015"|"PC10000008"|2005-05-21|2014-05-31||""
"C123015"|"PC10000009"|2002-02-03|2014-02-28||""
"C123014"|"PC10000010"|2011-10-11|2015-10-31||""
"C123013"|"PC10000011"|1998-10-15|2014-09-30||""
"C123012"|"PC10000012"|1996-08-28|2014-05-31||""
"C123011"|"PC10000013"|2004-04-14|2014-04-30||""
"C123010"|"PC10000014"|2010-03-19|2014-03-31||""
"C123009"|"PC10000015"|2008-04-09|2015-04-30||""
"C123008"|"PC10000016"|2009-11-29|2013-11-30||""
"C123007"|"PC10000017"|2000-08-26|2013-08-31|2013-03-05|""
"C123006"|"PC10000018"|2004-08-13|2016-08-31||""
"C123005"|"PC10000019"|2009-04-22|2014-11-30||""
"C123004"|"PC10000020"|2009-01-03|2016-01-31||""
"C123003"|"PC10000021"|2003-05-08|2014-05-31||""
"C123002"|"PC10000022"|2004-02-19|2014-02-28||""
"C123001"|"PC10000023"|1999-01-13|2014-01-31|2013-04-14|"VOL_CHURN"
"C123000"|"PC10000024"|1999-09-24|2015-01-31||""
"C122999"|"PC10000025"|2003-02-14|2014-03-31||""
"C122998"|"PC10000026"|2004-05-30|2016-03-31||""
"C122997"|"PC10000027"|1998-02-11|2014-02-28||""
"C122996"|"PC10000028"|2004-07-23|2016-07-31||""
"C122995"|"PC10000029"|2005-11-09|2014-03-31||""
"C122994"|"PC10000030"|2007-02-14|2014-02-28||""
"C122993"|"PC10000031"|1999-07-24|2014-07-31||""
"C122992"|"PC10000032"|2005-03-11|2015-09-30||""
"C122991"|"PC10000033"|1999-09-30|2014-09-30||""
"C122990"|"PC10000034"|2000-04-23|2014-06-30||""
"C122990"|"PC10000035"|1999-11-04|2014-11-30||""
"C122989"|"PC10000036"|2005-01-07|2015-06-30||""
"C122988"|"PC10000037"|2010-12-01|2014-12-31||""
"C122987"|"PC10000038"|2000-01-05|2014-01-31||""
"C122986"|"PC10000039"|2009-02-15|2013-12-31||""
"C122985"|"PC10000040"|2009-07-12|2016-07-31||""
"C122984"|"PC10000041"|2010-12-29|2014-12-31||""
"C122983"|"PC10000042"|2009-12-02|2016-02-28||""
"C122983"|"PC10000043"|2008-06-18|2015-06-30|2013-06-09|""
"C122983"|"PC10000044"|2003-10-10|2015-07-31||""
"C122983"|"PC10000045"|2000-04-28|2014-04-30||""
"C122982"|"PC10000046"|2012-02-15|2016-02-28|2013-03-23|"VOL_CHURN"
"C122981"|"PC10000047"|2008-04-02|2015-04-30||""
"C122980"|"PC10000048"|2006-07-27|2016-07-31||""
"C122979"|"PC10000049"|2000-06-29|2014-06-30||""
"C122978"|"PC10000050"|2004-10-22|2013-10-31||""
"C122977"|"PC10000051"|2010-12-08|2016-01-31||""
"C122976"|"PC10000052"|2006-06-25|2016-06-30||""
"C122975"|"PC10000053"|2000-10-08|2013-10-31||""
"C122974"|"PC10000054"|2010-07-09|2014-07-31||""
"C122973"|"PC10000055"|2010-01-31|2014-01-31||""
"C122972"|"PC10000056"|2001-07-07|2014-07-31||""
"C122971"|"PC10000057"|2005-03-17|2014-03-31||""
"C122970"|"PC10000058"|2003-06-11|2014-06-30||""
"C122969"|"PC10000059"|2006-03-23|2015-03-31||""
"C122969"|"PC10000060"|2003-04-25|2014-04-30||""
"C122968"|"PC10000061"|2005-07-07|2014-07-31||""
"C122967"|"PC10000062"|2004-10-08|2013-10-31|2013-06-16|"VOL_CHURN"
"C122966"|"PC10000063"|2009-05-17|2014-05-31||""
"C122966"|"PC10000064"|2009-01-04|2016-01-31||""
"C122966"|"PC10000065"|2008-01-10|2015-01-31||""
"C122965"|"PC10000066"|2002-04-17|2014-04-30||""
"C122964"|"PC10000067"|2010-07-11|2014-07-31||""
"C122963"|"PC10000068"|2009-03-04|2014-03-31||""
"C122962"|"PC10000069"|2005-06-26|2014-06-30||""
"C122961"|"PC10000070"|2010-04-07|2014-04-30||""
"C122960"|"PC10000071"|2008-06-26|2015-06-30||""
"C122959"|"PC10000072"|2005-02-03|2016-01-31||""
"C122958"|"PC10000073"|2010-07-30|2014-07-31||""
"C122957"|"PC10000074"|2002-02-21|2014-11-30||""
"C122956"|"PC10000075"|2007-07-26|2014-07-31||""
"C122955"|"PC10000076"|2012-01-12|2016-01-31||""
"C122954"|"PC10000077"|2006-10-27|2013-10-31||""
"C122953"|"PC10000078"|2006-08-19|2013-08-31||""
"C122952"|"PC10000079"|2002-05-24|2013-10-31||""
"C122951"|"PC10000080"|2004-04-17|2015-10-31||""
"C122950"|"PC10000081"|2002-06-07|2014-10-31||""
"C122949"|"PC10000082"|2007-05-15|2014-05-31||""
"C122948"|"PC10000083"|2004-07-10|2014-02-28||""
"C122947"|"PC10000084"|2002-09-14|2014-06-30||""
"C122946"|"PC10000085"|2003-09-11|2015-06-30||""
"C122945"|"PC10000086"|2003-10-16|2014-10-31||""
"C122944"|"PC10000087"|2003-10-24|2014-10-31||""
"C122943"|"PC10000088"|2007-08-02|2014-08-31||""
"C122942"|"PC10000089"|2008-10-24|2015-10-31||""
"C122941"|"PC10000090"|2005-08-25|2016-02-28||""
"C122940"|"PC10000091"|2009-01-09|2016-01-31||""
"C122939"|"PC10000092"|2008-07-04|2015-07-31||""
"C122938"|"PC10000093"|2008-08-20|2015-08-31||""
"C122937"|"PC10000094"|2006-09-06|2014-12-31||""
"C122936"|"PC10000095"|2011-01-07|2015-01-31||""
"C122935"|"PC10000096"|2011-05-11|2015-05-31|2013-03-27|"VOL_CHURN"
"C122934"|"PC10000097"|2009-05-17|2016-05-31||""
"C122933"|"PC10000098"|2003-06-13|2014-06-30||""
"C122932"|"PC10000099"|2008-02-22|||""
"C122931"|"PC10000100"|2003-03-06|2014-03-31||""
"C122930"|"PC10000101"|2003-08-06|2014-08-31||""
"C122929"|"PC10000102"|2007-12-27|2014-12-31|2013-06-08|"VOL_CHURN"
"C122928"|"PC10000103"|2009-07-17|2015-03-31||""
"C122927"|"PC10000104"|2010-09-16|2014-09-30||""
"C122926"|"PC10000105"|2005-10-20|2014-05-31||""
"C122925"|"PC10000106"|2011-10-06|2015-10-31||""
"C122924"|"PC10000107"|2004-06-05|2014-06-30||""
"C122923"|"PC10000108"|2003-09-23|2014-02-28||""
"C122922"|"PC10000109"|2008-11-23|2015-11-30||""
"C122921"|"PC10000110"|2007-04-12|2014-04-30||""
"C122920"|"PC10000111"|2004-05-13|2014-05-31||""
"C122919"|"PC10000112"|2005-01-29|2016-03-31||""
"C122918"|"PC10000113"|2011-10-05|2013-10-31||""
"C122917"|"PC10000114"|2009-02-07|2016-02-28||""
"C122916"|"PC10000115"|2011-09-22|2015-09-30||""
"C122915"|"PC10000116"|2010-02-18|2014-02-28||""
"C122914"|"PC10000117"|2007-10-20|2014-10-31||""
"C122913"|"PC10000118"|2011-01-27|2015-01-31||""
"C122912"|"PC10000119"|2008-12-10|2015-12-31||""
"C122911"|"PC10000120"|2003-11-04|2014-11-30||""
"C122910"|"PC10000121"|2003-10-29|2014-01-31|2013-04-07|"VOL_CHURN"
"C122909"|"PC10000122"|2003-11-13|2014-11-30||""
"C122908"|"PC10000123"|2010-03-13|2014-03-31||""
"C122907"|"PC10000124"|2005-08-21|2016-06-30||""
"C122906"|"PC10000125"|2006-06-22|2016-06-30||""
"C122905"|"PC10000126"|2004-06-04|2014-06-30||""
"C122904"|"PC10000127"|2009-03-21|2016-07-31||""
"C122903"|"PC10000128"|2004-12-18|2013-12-31||""
"C122902"|"PC10000129"|2007-03-10|2014-03-31||""
"C122902"|"PC10000130"|2007-03-10|2014-03-31||""
"C122901"|"PC10000131"|2010-02-10|2014-02-28||""
"C122900"|"PC10000132"|2010-05-07|2014-05-31||""
"C122899"|"PC10000133"|2007-06-27|2014-06-30||""
"C122898"|"PC10000134"|2006-07-26|2016-07-31||""
"C122897"|"PC10000135"|2004-04-08|2015-03-31||""
"C122896"|"PC10000136"|2011-06-24|2014-01-31|2013-03-11|"VOL_CHURN"
"C122895"|"PC10000137"|2007-12-04|2014-12-31||""
"C122894"|"PC10000138"|2012-01-31|2016-01-31||""
"C122893"|"PC10000139"|2006-03-03|2015-03-31|2013-04-14|"VOL_CHURN"
"C122892"|"PC10000140"|2006-04-29|2016-04-30||""
"C122891"|"PC10000141"|2008-04-05|2015-04-30||""
"C122890"|"PC10000142"|2007-02-08|2014-02-28||""
"C122890"|"PC10000143"|2005-03-27|2014-03-31|2013-03-09|"VOL_CHURN"
"C122889"|"PC10000144"|2008-12-17|2015-08-31||""
